,Group,IsPFAS(haveCF2),CAS,Compound name,Code,Solvent_used_for_NMR,Source,Note,SMILES,Internal Standard,FluorineInConjSystem,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
166,,FALSE,,1-fluorobutane,From_Review_3,CDCl3,,,CCCCF,,0,,,,,-219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,FALSE,,"1,1-difluorobutane",From_Review_4,CDCl3,,,CCCC(F)F,,0,,,,,-116,-116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,TRUE,,"1,1,1-trifluorobutane",From_Review_5,CDCl3,,,CCCC(F)(F)F,,0,,,,,-68,-68,-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,FALSE,,(fluoromethyl)benzene,From_Review_6,CDCl3,,,FCc1ccccc1,,0,-206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,FALSE,,(difluoromethyl)benzene,From_Review_7,CDCl3,,,FC(F)c1ccccc1,,0,-115,,-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,TRUE,,(trifluoromethyl)benzene,From_Review_8,CDCl3,,,FC(F)(F)c1ccccc1,,0,-63,,-63,-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,TRUE,,"1,1,1-trifluoroethane",From_Review_9,CDCl3,,,CC(F)(F)F,,0,,,-65,-65,-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,TRUE,,chlorotrifluoromethane,From_Review_10,CDCl3,,,FC(F)(F)Cl,,0,-33,,-33,-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,TRUE,,bromotrifluoromethane,From_Review_11,CDCl3,,,FC(F)(F)Br,,0,-21,,-21,-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,FALSE,,difluoroiodomethane,From_Review_12,CDCl3,,,FC(F)I,,0,-68,,-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
